gram,counts
number,346
talking,346
single,345
aids,345
answer,345
decades,344
wake,343
vaccinating,342
administered,342
youtube,341
shortages,341
mutate,341
plandemic,340
past,340
ahead,340
allowed,339
pig,337
definitely,337
open,336
avoid,335
allergies,333
aborted,333
original,333
provide,332
entire,330
joke,328
africa,327
wearing,327
confidence,326
listen,325
rollout,325
skynews,325
produce,324
waiting,322
doubt,322
genetic,321
killing,319
later,318
cost,318
pretty,318
freedom,317
longer,317
group,315
thousands,315
30,313
causes,311
chances,310
thank,309
volunteers,309
catch,309
head,308
clear,308
however,307
imagine,307
spike,306
support,305
mutations,304
highly,304
toxic,303
hear,302
worth,301
sounds,299
we,297
job,297
general,294
kids,292
quickly,291
but,291
nurses,290
including,290
damage,289
all,289
dire,288
left,287
pfizervaccine,286
important,286
pharmaceutical,285
criminal,285
60,284
gone,284
greed,282
complete,281
received,281
higher,281
playing,280
mark,279
1000,278
designed,277
summer,276
worry,275
fertility,274
ccpvirus,274
required,273
wow,273
contagious,273
eu,272
leaders,272
warp,271
marcorubio,270
produced,269
sell,269
opinion,266
petition,266
im,266
isolated,264
impact,264
blood,263
potus,263
benefit,262
covidiots,261
distancing,261
act,260
list,260
manufacturers,259
post,259
completed,258
along,258
states,258
law,256
shame,256
war,256
behind,255
warn,255
ill,255
started,253
injection,252
ccp,252
wtf,252
rights,251
staff,251
diseases,250
unsafe,250
bbcnews,250
fine,249
exist,248
bjp,248
short,248
talk,247
small,244
lying,243
looking,243
nytimes,243
they,242
shows,242
track,241
looks,240
not,239
expert,238
tyranny,238
gives,237
party,236
cdcgov,236
program,236
500,236
woman,236
unnecessary,235
bodies,235
transparency,234
totally,234
according,233
pence,233
match,232
minutes,231
approve,231
bnt162b2,230
russian,230
contain,229
polio,229
cell,228
refusing,228
scared,228
result,228
influenza,227
allow,227
bs,226
words,225
bet,225
treatments,225
suppressed,225
in,225
gave,225
causing,225
total,225
prophylaxis,224
destroy,224
saves,223
ai,223
danger,223
viral,222
deal,222
palsy,221
crazy,221
food,220
limited,220
form,219
unproven,219
ivm,219
corrupt,218
bit,218
mutating,218
novaccineforme,218
brain,217
treat,217
vs,216
ineffective,216
hey,216
basically,215
african,212
share,212
whitehouse,211
paid,211
deliver,210
decision,210
exposed,209
scenario,209
antibody,208
reuters,208
putting,208
careful,208
came,208
reduce,208
developing,207
top,207
if,207
alone,206
failure,206
fordnation,206
plus,205
seem,205
advice,205
survive,203
that,203
shortages1,202
claims,202
planned,201
malaria,201
afraid,200
ingredients,200
abc,199
risky,199
possibly,199
economy,198
self,197
play,197
super,196
simply,195
travel,195
bigpharma,194
australia,193
gene,193
vp,193
nope,193
mixing,193
worker,192
bc,192
access,192
strategy,192
therefore,190
98,190
period,190
idiot,189
house,189
indian,188
britain,188
guys,187
concerned,187
willing,187
16,187
following,187
discredited,186
credit,186
guy,186
election,186
crap,185
mutates,185
messages,185
earth,185
infections,184
lead,183
headline,183
medicines,181
potentially,181
ur,181
january,180
informed,180
problems,180
repurposed,180
report,180
lied,179
15,179
generics,179
fraulently,177
late,177
parasites,177
negative,177
needle,177
resistant,176
policy,175
knew,175
hand,174
mandate,174
game,174
interesting,174
three,174
operation,174
require,174
hospitals,174
tv,174
huge,173
military,173
set,172
word,172
previous,172
manufacturer,171
jr,171
okay,171
asking,171
happened,171
dumb,169
power,169
expected,168
hundreds,168
questions,167
clearly,167
massive,166
infectious,166
reasons,166
info,166
level,166
apparently,166
reactogenic,165
nazi,165
wild,165
hands,164
faith,164
leave,164
14,164
facts,163
maga,163
learn,162
distance,162
national,162
production,161
purpose,161
mid,160
forever,160
twitter,160
tells,159
disgusting,159
politics,159
young,157
jesus,157
worried,157
arm,157
multiple,156
patient,156
success,156
child,156
close,156
quite,155
forget,155
surely,155
consider,155
near,155
syringe,154
affects,154
essential,154
cut,154
conditions,153
pharmacist,153
irresponsible,153
variants,153
concerns,152
fall,152
consent,152
till,151
race,151
depopulation,151
refuses,151
idiots,150
several,150
400,149
eat,148
nigeria,148
regarding,148
thats,148
offered,147
otherwise,147
msnbc,147
wh,147
baby,147
love,146
certain,146
ya,146
mortality,146
changes,146
asymptomatic,145
insane,145
considering,145
guarantee,145
deserve,144
easily,144
successful,144
nonsense,143
scary,143
nwo,142
deadlier,141
measures,141
17,141
approach,141
reality,140
governments,140
skeptical,140
us_fda,139
sign,139
attack,139
legal,139
injecting,139
south,139
living,139
alter,139
systems,139
nypost,139
proteins,138
despite,138
wont,138
concern,138
except,137
eliminate,136
whatever,136
suggest,136
kennedy,135
allergy,135
lack,134
choose,134
recommended,134
zinc,133
release,133
robert,133
bell,132
community,131
gmb,131
schools,131
circumstances,131
stick,130
saving,130
miracle,129
officials,129
bullet,129
explain,129
neither,128
amount,128
foxnews,128
covidvaccines,127
informedconsent,127
knowing,127
vaccinestrategy,127
properly,127
pro,127
increase,126
percent,126
stupidity,126
simple,125
mild,124
month,124
beast,124
tweet,124
nation,124
killer,124
rt,123
scare,123
silver,123
quick,123
wan,122
tried,122
move,122
significant,122
jump,121
dangers,121
threat,121
lt,121
trusted,121
becomes,121
priority,119
code,119
hidden,119
cant,118
add,117
faster,117
systematically,117
uses,117
aexpirator,117
blessing,117
disaster,116
there,116
build,116
existing,116
mutant,115
democrats,114
stuff,114
diapers,113
genetically,113
then,113
vitamin,113
among,113
reverse,113
spanish,113
events,113
school,113
survivable,112
shut,112
hysteria,112
con,112
preventing,112
stimulus,112
contact,111
congress,111
personally,111
bring,111
meant,111
ruin,110
linger,110
count1,110
enforcement,110
socalled,109
mess,109
schedules,109
gravytrain,109
1918,109
safer,109
massively,109
cures,108
controversial,107
cover,107
hold,107
morally,107
prophylactic,107
surprised,106
century,106
aoc,106
empty,106
extremely,105
hcq,105
florida,105
fail,105
excuse,105
modified,105
approves,104
society,104
prevents,104
perfectly,104
water,103
stand,103
forcing,103
usually,103
injections,102
biggest,101
damages,101
justintrudeau,101
sinovac,101
anaphylaxis,100
covidー19,100
participants,100
ridiculous,100
worked,99
complying,99
individuals,99
dollars,99
rules,99
york,99
cdnpoli,98
example,98
released,98
sound,98
apart,97
fatal,97
inside,97
anymore,97
catching,96
covaxin,96
seeing,96
rates,96
slow,95
decide,95
other,95
friends,95
theory,95
responsible,95
contains,94
updates,94
invention,94
claiming,94
certainly,94
review,93
russia,93
currently,93
vatican,93
sarscov2,93
funny,93
smart,93
